Адыгея|Алтайский край|Амурская обл.|Архангельская обл.|Астраханская обл.|Башкортостан|Белгородская обл.|Брянская обл.|Бурятия|Владимирская обл.|Волгоградская обл.|Вологодская обл.|Воронежская обл.|Дагестан|ЕАО|Забайкальский край|Ивановская обл.|Ингушетия|Иркутская обл.|Кабардино-Балкария|Калининградская обл.|Калмыкия|Калужская обл.|Камчатский край|Карачаево-Черкесия|Карелия|Кемеровская обл.|Кировская обл.|Коми|Костромская обл.|Краснодарский край|Красноярский край|Курганская обл.|Курская обл.|Ленинградская обл.|Липецкая обл.|Магаданская обл.|Марий Эл|Мордовия|Москва|Московская обл.|Мурманская обл.|НАО|Нижегородская обл.|Новгородская обл.|Новосибирская обл.|Омская обл.|Оренбургская обл.|Орловская обл.|Пензенская обл.|Пермский край|Приморский край|Псковская обл.|Респ. Алтай|Ростовская обл.|Рязанская обл.|Самарская обл.|Санкт-Петербург|Саратовская обл.|Сахалинская обл.|Свердловская обл.|Северная Осетия|Смоленская обл.|Ставропольский край|Тамбовская обл.|Татарстан|Тверская обл.|Томская обл.|Тульская обл.|Тыва|Тюменская обл.|Удмуртия|Ульяновская обл.|ХМАО|Хабаровский край|Хакасия|Челябинская обл.|Чечня|Чувашия|Чукотка|ЯНАО|Якутия|Ярославская обл.
Ага|15|51.108|114.542
Агабехи|77|42.640|45.937
Агада|13|42.413|46.841
Агайра|53|51.533|85.733
Агалатово|34|60.219|30.274
Агалаченки|27|58.922|49.101
Агалья|70|57.417|67.600
Аган|73|61.636|75.082
Аганино|11|59.980|35.941
Аганино|67|56.867|82.267
Аганты|73|62.367|79.433
Аганур|37|56.648|49.182
Агапа|31|71.450|89.250
Агапино|32|56.234|63.555
Агапитово|29|58.749|43.416
Агапитово|31|68.033|86.450
Агапиха|27|58.621|48.933
Агаповка|46|54.997|71.708
Агаповка|76|53.297|59.134
Агапово|49|53.133|43.083
Агапово|50|58.290|55.279
Агаповский|10|51.142|42.634
Агаповцы|27|58.201|48.860
Агапоново|62|54.964|31.633
Агарак|70|56.971|67.947
Агарал|53|50.750|86.183
Агарды|5|54.850|55.050
Агаревка|58|51.953|45.764
Агаренский|54|46.472|41.441
Агарзинский|50|56.451|56.507
Агарзя|50|56.475|56.513
Агарино|12|51.891|38.412
Агарино|40|54.737|37.657
Агарков|12|51.443|40.027
Агарково|33|51.693|34.718
Агарково|35|52.462|38.259
Агарково|48|52.252|36.793
Агарково|55|54.494|39.704
Агаровка|47|53.250|53.700
Агарчик|33|51.880|38.419
Агаршево|62|55.835|34.344
Агарышево|52|56.642|28.226
Агарыши|22|54.894|35.223
Агарёвка|58|51.971|45.423
Агарёвка|71|56.377|53.022
Агарёвка|72|53.067|47.433
Агаскыр|75|54.970|89.317
Агасьево|49|53.911|43.758
Агата|31|66.926|93.492
Агафино|52|56.505|30.135
Агафо|49|52.850|44.267
Агафониха|66|57.300|35.956
Агафоница|66|57.983|33.917
Агафонково|50|57.045|57.756
Агафонково|52|56.575|29.058
Агафонова|52|56.500|30.317
Агафоновка|46|55.524|73.861
Агафоновка|58|50.602|47.444
Агафоново|11|60.177|38.474
Агафоново|27|57.717|51.750
Агафоново|3|63.973|44.282
Агафоново|40|55.624|36.583
Агафоново|44|58.783|33.650
Агафоново|52|56.757|28.436
Агафоново|62|55.791|34.094
Агафоново|66|58.413|36.584
Агафоново|82|57.820|37.804
Агафоново|8|53.550|109.683
Агафоновская|11|60.767|37.933
Агафоновская|27|59.050|49.800
Агафоновская|3|63.553|45.645
Агафоновский|58|51.517|45.950
Агафоны|27|58.183|48.319
Агафы|50|58.200|55.517
Агафьино|22|55.015|35.246
Агачаул|13|42.923|47.464
Агачауловко|45|56.548|76.669
Агачина|52|56.942|27.855
Агачкала|13|42.767|47.078
Агашева|34|60.563|34.046
Агашкина|50|59.378|54.473
Агашкино|40|55.303|38.209
Агашты|77|42.882|45.948
